index,ticker,name,cik,sector,sub_industry,industry_group
355,PKG,Packaging Corporation of America,75677,Materials,Paper & Plastic Packaging Products & Materials,Materials
356,PLTR,Palantir Technologies,1321655,Information Technology,Application Software,Software & Services
357,PANW,Palo Alto Networks,1327567,Information Technology,Systems Software,Software & Services
358,PSKY,Paramount Skydance Corporation,2041610,Communication Services,Movies & Entertainment,Media & Entertainment
359,PH,Parker Hannifin,76334,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
360,PAYX,Paychex,723531,Industrials,Human Resource & Employment Services,Commercial & Professional Services
361,PAYC,Paycom,1590955,Industrials,Human Resource & Employment Services,Commercial & Professional Services
362,PYPL,PayPal,1633917,Financials,Transaction & Payment Processing Services,Financial Services
363,PNR,Pentair,77360,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
364,PEP,PepsiCo,77476,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Food, Beverage & Tobacco"
365,PFE,Pfizer,78003,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
366,PCG,PG&E Corporation,1004980,Utilities,Multi-Utilities,Utilities
367,PM,Philip Morris International,1413329,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
368,PSX,Phillips 66,1534701,Energy,Oil & Gas Refining & Marketing,Energy
369,PNW,Pinnacle West Capital,764622,Utilities,Multi-Utilities,Utilities
